Date,Project Name,Agreement #:,Quote Deadline,Decision Deadline,Shipping Budget,Decision Status,Official 3PL Outbound Decision,Official 3PL Inbound Decision,Offical 3PL Notified? Y/N,BOL Status,Logistics Status,Project Address,State Project is in,Meal Count,Meal Type,Shipping Quote Form Made?,Total  Miles (Each Way),Total Miles (Round Trip),Warehouse Packing Deadline,Outbound Delivery Date,Weekday #,Weekend Delivery,Outbound Liftgate? Yes or No,Outbound Volume,FTL (10 or more),Outbound Weight ,OB Quote #1- Company,OB Quote #1- Cost,OB Quote #2- Company,OB Quote #2- Cost,OB Quote #3- Company,OB Quote #3- Cost,Outbound Quote Final,Inbound Warehouse ,Inbound Pickup Date,Weekday #,Weekend Delivery,Inbound Pickup Liftgate?,Inbound Volume,FTL (10 or more),Inbound Weight,Inbound Quote #1- Company,Inbound Quote #1- Cost,Inbound Quote #2- Company,Inbound Quote #2- Cost,Inbound Quote #3- Company,Inbound Quote #3- Cost,Inbound Quote Final
01/10/2019,Cigna,3036,12/20/2018,1/3/2019,"$2,200.00",,Astra,Astra,,,,"1601 Chestnut St Two Liberty Place Philadelphia, PA 19192",PA,"25,000",Hamburger Hero,,778,"1,556",12/27/2019,1/4/2019,6,FALSE,Yes,3,n,"2,940",Astra,,,,,,"$1,156.56",IL,1/11/2019,6,FALSE,yes,2,n,"1,391",Astra,,,,,,$661.51
4/9/2019,JPMC- San Francisco,3154,3/19/2019,4/2/2019,"$3,000.00",Complete,Priority1,Priority1,Y,Obtained,Complete,"560 Mission St, Floor 23, San Francisco, CA 34105",CA,"30,000",IVP,Yes,594,"1,188",3/28/2019,4/8/2019,2,FALSE,Yes,5,n,"4,979",Astra,"$2,070.10",Priority1,$856.07,CH,$577.88,$577.88,SLC,4/10/2019,4,FALSE,Yes,2,n,"2,203",Astra,$790.89,Priority1,$391.32,CH ,$347.88,$347.88
4/10/2019,"One Day, One Dog ",3025,3/20/2019,4/3/2019,"$1,700.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"2805 Telefair Lane, Monroe NC 28110",NC,"37,500",RLJ,Yes,791,"1,582",4/4/2019,4/9/2019,3,FALSE,Yes,4,n,"6,227",Astra,"$1,655.93",Priority1,"$1,186.39",CH,$878.88,$878.88,IL,4/10/2019,4,FALSE,Yes,3,n,"2,743",Astra,$648.74,Priority1,$852.55,CH,$487.77,$487.77
4/10/2019,Wells Fargo- Dallas,3136,3/20/2019,4/3/2019,$300.00,Complete,DSA,DSA,,Created,Complete,"2222 N Stemmons Fwy, Dallas, TX 75207",TX,"22,500",RLJ,Yes (Not Finished),18,36,4/4/2019,4/10/2019,4,FALSE,TBD,3,n,"4,577",DSA,$242.50,Using DSA,,Using DSA,,$242.50,DFW,4/10/2019,4,FALSE,TBD,2,n,"1,582",DSA,$242.50,DSA,,DSA,,$242.50
4/10/2019,Travelers Insurance,3157,3/20/2019,4/3/2019,"$2,000.00",Complete,CH Robinson,Astra,Y,Obtained,Complete,"Midtown 188 14th Street NE, Atlanta GA 30361",GA,"15,000",RLJ,Yes (Not Finished),457,914,4/4/2019,4/9/2019,3,FALSE,TBD,2,n,"3,274",Astra,$675.00,CH,$677.00,Priority1,$519.10,$519.10,FL,4/10/2019,4,FALSE,TBD,2,n,"3,274",Astra,$475.00,CH,$327.87,Priority1,$547.86,$327.87
4/11/2019,Keller Williams Hunger Project,3088,3/21/2019,4/4/2019,$300.00,Complete,DSA,DSA,N,Obtained,Complete,"2106 E. State Hwy. 114 Suite #101 Southlake, TX 76092 
",TX,"10,000",RLJ,Yes,20,40,4/11/2019,4/11/2019,5,FALSE,Yes,2,n,"2,250",DSA,$125.00,Using DSA,,Using DSA,,$125.00,DFW,4/11/2019,5,FALSE,Yes,2,n,"1,250",DSA,$125.00,Using DSA,,Using DSA,,$125.00
4/11/2019,Comcast,3112,3/21/2019,4/4/2019,$0.00,Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"Loew's Sapphire Falls 6601 Adventure Way Orlando, FL 32819 ",FL,"75,000",RLJ,Yes,23,46,4/8/2019,4/11/2019,5,FALSE,No,6,n,"13,234",Priority1,$350.00,CH,$300.00,FedEx (Q: 1149668114),$308.48,$300.00,FL,4/11/2019,5,FALSE,No,6,n,"13,234",Priority1,$350.00,CH,$300.00,FedEx (Q: 1149780022),$235.60,$235.60
4/13/2019,LDS - Westminster Stake,3181,3/23/2019,4/6/2019,$0.00,Complete,Astra,Astra,Y,Obtained,Complete,"13370 Lowell BLVD Broomfield, CO 80020 United States",CO,"40,000",IVP,Yes,510,"1,020",4/3/2019,4/5/2019,6,FALSE,Yes,6,n,"6,046",Astra,$925.00,Priority1,$749.05,CH,$658.84,$658.84,SLC,4/15/2019,2,FALSE,Yes,2,n,"2,324",Astra,$458.51,Priority1,$429.36,CH,$337.98,$337.98
4/24/2019,International Leadership Summit,3037,4/3/2019,4/17/2019,$0.00,Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"333 S Franklin St Tampa, FL 33602",FL,"100,000",RLJ,Yes,99,198,4/19/2019,4/23/2019,3,FALSE,No,8,n,"17,487",CH,$500.00,Priority1,$450.00,Astra,$625.00,$450.00,FL,4/24/2019,4,FALSE,No,3,n,"4,600",74,$218.88,Priority 1,$203.33,Astra,$287.12,$203.33
4/24/2019,Bridge Property Management Project,3113,4/3/2019,4/17/2019,$0.00,Complete,DSA,DSA,Y,Obtained,Complete,"Hilton Salt Lake City Center 255 S W Temple, Salt Lake City, UT 84101",UT,"50,000",RLJ,Yes,7,14,4/15/2019,4/24/2019,4,FALSE,No,5,n,"9,500",CH,$350.00,DSA,$450.00,Priority1,$390.00,$350.00,SLC,4/24/2019,4,FALSE,No,5,n,"9,500",CH,$350.00,DSA,$450.00,Priority1,$300.00,$300.00
5/1/2019,Cigna Fights Hunger- NYC,3202,4/10/2019,4/24/2019,"$2,500.00",Complete,CH Robinson,CH Robinson,Y,Obtained,Complete,"Westin NY Grand Central 212 East 42nd Street, New York NY 10017",NY,"37,500",IVP,Yes,810,"1,620",4/19/2019,4/30/2019,3,FALSE,Yes,6,n,"5,694",Astra,"$1,549.01",CH,$968.78,Priority1,"$1,515.30",$968.78,IL,5/2/2019,5,FALSE,Yes,2,n,"2,900",Astra,$746.47,CH,$608.89,Priority1,$695.36,$608.89
5/2/2019,Wells Fargo- Orlando,3137,4/11/2019,4/25/2019,$300.00,Complete,CH Robinson,Astra,Y,Obtained,Complete,"Renaissance Orlando Airport 5445 Forbes Pl, Orlando FL 32812",FL,"22,500",RLJ,Yes ,24,48,4/26/2019,5/2/2019,5,FALSE,TBD,3,n,"4,739",Astra,$500.00,FedEx,$427.12,N/A,,$427.12,FL,5/2/2019,5,FALSE,TBD,2,n,"1,800",Astra,$250.00,FedEx,$420.00,CH,$257.78,$250.00
